WEEK,YEAR,DAY,DATE,AMT_PLT_DELIVERED,AMT_TRK,AMT_WGS_TO_GER,AMT_WGH_WGS_TO_GER,AMT_LOADED_PLT_AUS,AMT_WGS_TO_AUS,AMT_WGH_WGS_TO_AUS,AMT_PLT_FROM_GER,AMT_TRK_OUTBOUND,AMT_WGS_FROM_GER,WGS_ON_TIME_FROM_GER,AMT_WGH_WGS_FROM_GER,PLT_DES,PLT_DES_CUS,PLT_DES_OWN,AMT_PLT_RTN
53,2016,Friday,"Friday, January 1, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
53,2016,Saturday,"Saturday, January 2, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
53,2016,Sunday,"Sunday, January 3, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
1,2016,Monday,"Monday, January 4, 2016",124,4,3,0,0,0,0,0,0,0,NULL,0,0,0,0,0
1,2016,Tuesday,"Tuesday, January 5, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
1,2016,Wednesday,"Wednesday, January 6, 2016",114,3,3,0,0,0,0,0,0,0,NULL,0,0,0,0,0
1,2016,Thursday,"Thursday, January 7, 2016",164,5,4,0,0,0,0,0,0,0,NULL,0,0,0,0,0
1,2016,Friday,"Friday, January 8, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
1,2016,Saturday,"Saturday, January 9, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
1,2016,Sunday,"Sunday, January 10, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
2,2016,Monday,"Monday, January 11, 2016",350,9,8,0,0,0,0,0,0,0,NULL,0,0,0,0,0
2,2016,Tuesday,"Tuesday, January 12, 2016",302,8,7,0,0,0,0,0,0,0,NULL,0,0,0,0,0
2,2016,Wednesday,"Wednesday, January 13, 2016",215,6,5,0,0,0,0,0,0,0,NULL,0,0,0,0,0
2,2016,Thursday,"Thursday, January 14, 2016",234,7,6,0,0,0,0,0,0,0,NULL,0,0,0,0,0
2,2016,Friday,"Friday, January 15, 2016",234,7,6,0,0,0,0,0,0,0,NULL,0,0,0,0,0
2,2016,Saturday,"Saturday, January 16, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
2,2016,Sunday,"Sunday, January 17, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
3,2016,Monday,"Monday, January 18, 2016",372,11,9,0,0,0,0,0,0,0,NULL,0,0,0,0,0
3,2016,Tuesday,"Tuesday, January 19, 2016",228,8,6,0,0,0,0,0,0,0,NULL,0,0,0,0,0
3,2016,Wednesday,"Wednesday, January 20, 2016",247,6,6,0,0,0,0,0,0,0,NULL,0,0,0,0,0
3,2016,Thursday,"Thursday, January 21, 2016",96,2,2,0,0,0,0,0,0,0,NULL,0,0,0,0,0
3,2016,Friday,"Friday, January 22, 2016",122,4,3,0,0,0,0,0,0,0,NULL,0,0,0,0,0
3,2016,Saturday,"Saturday, January 23, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
3,2016,Sunday,"Sunday, January 24, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
4,2016,Monday,"Monday, January 25, 2016",328,10,8,0,0,0,0,0,0,0,NULL,0,0,0,0,0
4,2016,Tuesday,"Tuesday, January 26, 2016",267,8,7,0,0,0,0,0,0,0,NULL,0,0,0,0,0
4,2016,Wednesday,"Wednesday, January 27, 2016",153,4,4,0,0,0,0,0,0,0,NULL,0,0,0,0,0
4,2016,Thursday,"Thursday, January 28, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
4,2016,Friday,"Friday, January 29, 2016",76,2,2,0,0,0,0,0,0,0,NULL,0,0,0,0,0
4,2016,Saturday,"Saturday, January 30, 2016",0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0
